cid,targets,cnDesc,basicTypes
SO02529053,[],严重肝脏损害,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529250,[],盐酸丙帕他莫过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544912,[],盐酸伐昔洛韦过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00020983,"['combo_concept', 'therapeutic_procedure']",牵引,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO01488565,"['has_site', 'combo_concept']",急性肺栓塞,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00022022,"['has_site', 'combo_concept', 'diagnosis']",病毒感染,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00828278,['costly_medicine'],铝碳酸镁口服片,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00639761,[],甘露醇注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00011479,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",慢性肾衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529044,['has_site'],活动性肝病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00496126,['costly_medicine'],开浦兰,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529108,[],醋酸泼尼松过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02193205,[],重酒石酸去甲肾上腺素注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00429784,['combo_concept'],急性加重,"[{'enBasicType': 'Course', 'cnBasicType': '病情变化'}]"
SO00310291,['costly_medicine'],安理申,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}, {'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00337219,['has_site'],氟西汀过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02528984,[],颈椎骨质破坏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01651607,[],重度脱水,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00358068,"['notClinical', 'combo_concept']",妊娠,"[{'enBasicType': 'Finding', 'cnBasicType': '发现'}]"
SO02529063,[],丙戊酰胺过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02525551,[],活动性结核,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00077777,['costly_medicine'],活络喜,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00015562,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",帕金森病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529093,['has_site'],头孢地尼过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00407199,['combo_concept'],红霉素,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00009458,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",心脏衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529241,[],草酸依地普仑过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00003452,"['has_site', 'combo_concept', 'diagnosis']",心脏压塞,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529308,[],肾上腺素类药物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00108358,"['has_site', 'combo_concept', 'diagnosis']",腰椎间盘突出症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00000588,['has_site'],肾上腺功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529222,[],血管性虚脱,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544899,['has_site'],肠内营养混悬液过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529141,[],格列美脲过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00021605,"['has_site', 'combo_concept', 'diagnosis']",尿毒症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00816906,"['has_site', 'combo_concept']",急性肾功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544918,[],马应龙麝香痔疮膏过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00009741,"['has_site', 'combo_concept', 'concrete_object']",疝气,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529294,[],严重呼吸功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01563534,[],淤血,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO00133704,"['has_site', 'combo_concept', 'diagnosis']",急性左心衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02532380,[],腰部钛板置入术后,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02194427,[],羟乙基淀粉130/0.4氯化钠注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529293,[],咪唑类衍生物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00121863,"['combo_concept', 'diagnosis']",严重贫血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02528953,[],依康宁,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00009644,"['has_site', 'combo_concept', 'diagnosis']",出血性疾病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00429263,"['has_site', 'combo_concept', 'diagnosis']",高尿酸血症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529218,[],出血性脑血管意外,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529070,[],顽固性低钾血症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00337849,['has_site'],氧氟沙星过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529020,['has_site'],严重肾功能衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02416528,[],奥斯坦,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02528949,[],非比麸,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02114503,[],5%葡萄糖注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02544922,[],精蛋白生物合成人胰岛素过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00130616,"['has_site', 'complaint', 'diagnosis']",听力障碍,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02528947,[],贝坦利,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02529203,[],肠道功能衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00408089,"['combo_concept', 'costly_medicine']",德巴金,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00013983,"['combo_concept', 'concrete_object', 'complaint', 'diagnosis']",肿瘤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01761286,['combo_concept'],感染,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00269205,['diagnostic_procedure'],简易精神状态检查量表,"[{'enBasicType': 'Exam', 'cnBasicType': '检查手段'}]"
SO00008626,"['has_site', 'combo_concept', 'diagnosis']",胃肠道出血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529121,[],依折麦布过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00181240,['combo_concept'],急性出血,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02544905,['has_site'],还原型谷胱甘肽过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00258671,['combo_concept'],妊娠期,"[{'enBasicType': 'Qualifier', 'cnBasicType': '医学限定词'}]"
SO02529278,[],严重创伤后期,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00132810,['has_site'],急性关节炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529319,[],儿茶酚胺类药,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02527161,[],SAS,"[{'enBasicType': 'Standard', 'cnBasicType': '标准'}]"
SO02526337,['has_site'],新发骨折,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00337370,['has_site'],氨氯地平过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00338304,['has_site'],左旋甲状腺素钠过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529096,['has_site'],重度肾功能损害,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529037,[],水杨酸盐过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00005890,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",胰岛素依赖性糖尿病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00009452,"['has_site', 'combo_concept']",心脏传导阻滞,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00010354,"['has_site', 'combo_concept', 'diagnosis']",高钠血症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529087,[],塞来昔布过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02525555,[],急性损伤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544928,['has_site'],醒脑静注射液过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544907,[],利塞膦酸钠过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00005900,"['has_site', 'combo_concept', 'diagnosis']",糖尿病酮症酸中毒,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00019615,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",椎管狭窄,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00007231,"['has_site', 'combo_concept', 'diagnosis']",癫痫,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00416499,[],拜阿司匹林,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00277183,['combo_concept'],妊娠期,"[{'enBasicType': 'Qualifier', 'cnBasicType': '医学限定词'}]"
SO00008153,['antibiotic'],氟康唑,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02528931,[],压氏达,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02529198,[],Brunstrom技术,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00648033,"['has_site', 'combo_concept', 'diagnosis']",糖尿病伴昏迷,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529075,[],脑部损伤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529012,[],酒石酸托特罗定过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529119,[],苯并咪唑代谢物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00487289,[],低渗性脱水,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00398758,[],病情稳定,"[{'enBasicType': 'Finding', 'cnBasicType': '发现'}]"
SO00185982,"['combo_concept', 'complaint']",认知功能受损,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00122884,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",维生素D中毒,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02513727,[],高渗性昏迷,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529208,[],酰胺类药过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00089889,"['combo_concept', 'surgery_procedure']",心脏起搏器植入术,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00142897,['combo_concept'],急性传染病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529259,['has_site'],重度肾损伤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00338194,['has_site'],,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00584961,[],高渗性脱水,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529268,[],粒细胞刺激因子过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02528946,[],特充,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00019206,"['has_site', 'combo_concept']",皮肤病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00021352,"['has_site', 'combo_concept', 'diagnosis']",皮肤结核,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00013637,"['has_site', 'combo_concept', 'diagnosis']",重症肌无力,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00000442,"['has_site', 'combo_concept', 'diagnosis']",急性胰腺炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544996,[],外伤后手术,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO01828336,['has_site'],心肌梗塞,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02205006,[],华佗再造丸,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529211,['has_site'],重度肾功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529282,['has_site'],有症状的心律失常,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00006573,"['has_site', 'diagnosis']",运动障碍综合征,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00069667,"['has_site', 'diagnosis']",胃肠穿孔,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00018057,"['has_site', 'combo_concept', 'diagnosis']",肾动脉狭窄,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529116,[],卵磷脂过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00011359,"['has_site', 'combo_concept', 'diagnosis']",关节结核,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544914,[],盐酸曲美他嗪过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00880717,[],百因止,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529091,['has_site'],银杏叶过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00005931,"['combo_concept', 'therapeutic_procedure']",肾透析,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00120378,['has_site'],尿路出血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00010804,['has_site'],炎症性肠病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529233,[],丙二醇过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00337448,['has_site'],异丙托溴铵过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529043,[],尿闭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00403032,"['has_site', 'combo_concept']",咳嗽,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02238038,"['combo_concept', 'diagnosis']",氨基酸代谢紊乱,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00398946,['costly_medicine'],利必通,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02544896,[],体虚久咳,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO00337244,['has_site'],唑吡坦过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544988,[],高频电疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00004086,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",原发性胆汁性肝硬变,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00223581,"['has_site', 'combo_concept', 'diagnosis']",机械性肠梗阻,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529010,[],普瑞巴林过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529095,[],达比加群酯过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01921274,[],碳酸氢钠注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO01595461,[],碳酸氢钠片,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529097,[],高岀血风险的恶性肿瘤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529031,['has_site'],骨化三醇过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529111,[],缬沙坦过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529306,[],倍他米松过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00612908,['costly_medicine'],阿达木单抗,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00072664,"['has_site', 'combo_concept', 'diagnosis']",急性心肌梗死,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00021485,"['combo_concept', 'therapeutic_procedure']",超声疗法,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02416553,[],舍尼亭,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO01181362,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",慢性肾脏病4期,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01920468,[],瑞舒伐他汀过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00532543,[],泊沙康唑,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00121910,"['has_site', 'combo_concept', 'diagnosis']",骨质破坏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529236,[],心肌梗死早期,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02191573,['costly_medicine'],复方甘草口服溶液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529142,[],华法林钠过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02235242,[],进展期,"[{'enBasicType': 'Qualifier', 'cnBasicType': '医学限定词'}]"
SO00007011,"['has_site', 'combo_concept', 'diagnosis']",内分泌疾患,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00069185,"['has_site', 'combo_concept', 'complaint']",破损的皮肤,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02529113,[],等渗性失水,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02398299,[],凝血异常,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02529323,[],血液负电荷接触,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00102350,"['combo_concept', 'therapeutic_procedure']",红外线辐射疗法,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00270089,[],运动疗法,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00006694,"['combo_concept', 'complaint', 'diagnosis']",水肿,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO00159444,['costly_medicine'],地塞米松磷酸钠注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529086,[],厄贝沙坦过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00009557,['combo_concept'],血肿,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO01659405,[],,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529061,[],对丙戊酸钠过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02296062,[],肝硬化腹水症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02298102,['combo_concept'],重症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00660529,['costly_medicine'],能全力,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529041,['has_site'],严重肝功能不良,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529288,[],盐酸利多卡因过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00251858,"['has_site', 'diagnosis']",骨质疏松症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00350733,['has_site'],复发性消化道出血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00001395,"['has_site', 'combo_concept']",缺氧,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529325,[],端坐30分钟,"[{'enBasicType': 'Behavior', 'cnBasicType': '行为'}]"
SO02544915,[],华佗再造丸过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02206379,[],氟比洛芬凝胶贴膏,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00496402,"['combo_concept', 'therapeutic_procedure']",心脏治疗性操作,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00354260,['therapeutic_procedure'],吞咽训练,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02529145,[],颅内出血倾向,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00016877,"['notClinical', 'combo_concept']",妊娠,"[{'enBasicType': 'Finding', 'cnBasicType': '发现'}]"
SO02001841,[],活动性出血,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02516999,[],血栓栓塞性疾病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00010343,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",血糖过多,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01569096,['costly_medicine'],拜瑞妥,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00860237,[],活动性消化性溃疡,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529110,[],内脏手术,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00011063,"['has_site', 'combo_concept', 'diagnosis']",肠瘘,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
